146071,occ,,,12855,Coelodus toncoensis,species,35173,species not entered,Coelodus,,genus,35173,Maastrichtian,,72.1,66,Gayet et al.,1991,19317,Chordata,Actinopteri,Pycnodontiformes,Pycnodontidae,Coelodus,,,,,-65.449997,-17.855556,Pajcha Pata,,Pajchapata,BO,Cochabamba,,based on nearby landmark,seconds,outcrop,"About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road",gp_mid,-46.94,-18.88,201,BO,,El Molino,,,member,,,,,,,,"The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.",sandstone,"fine,medium,red,yellow",,,Y,,,,,,estuary/bay,,The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,"Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.",,,actively mobile,nektonic,,"durophage, carnivore",,,hydroxyapatite,,,,vertebrate,"M. Gayet, L. G. Marshall, and T. Sempere. 1991. The Mesozoic and Paleocene vertebrates of Bolivia and their stratigraphic context: a review. In R. Suarez-Soruco (ed.), Fosiles y Facies de Bolivia. Volumen 1‰ÛÓVertebrados. Revista TÌ©cnica de YPFB 12(3-4):393-433"
146072,occ,,,12855,Lepisosteus sp.,genus,35150,,Lepisosteus,,genus,35150,Maastrichtian,,72.1,66,Gayet et al.,1991,19317,Chordata,Actinopteri,Lepisosteiformes,Lepisosteidae,Lepisosteus,,,,,-65.449997,-17.855556,Pajcha Pata,,Pajchapata,BO,Cochabamba,,based on nearby landmark,seconds,outcrop,"About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road",gp_mid,-46.94,-18.88,201,BO,,El Molino,,,member,,,,,,,,"The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.",sandstone,"fine,medium,red,yellow",,,Y,,,,,,estuary/bay,,The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,"Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.",freshwater,,actively mobile,nektonic,,carnivore,,,hydroxyapatite,,,,vertebrate,"M. Gayet, L. G. Marshall, and T. Sempere. 1991. The Mesozoic and Paleocene vertebrates of Bolivia and their stratigraphic context: a review. In R. Suarez-Soruco (ed.), Fosiles y Facies de Bolivia. Volumen 1‰ÛÓVertebrados. Revista TÌ©cnica de YPFB 12(3-4):393-433"
146073,occ,,,12855,Gasteroclupea branisai,species,35450,species not entered,Gasteroclupea,,genus,35450,Maastrichtian,,72.1,66,Gayet et al.,1991,19317,Chordata,Actinopteri,Clupeiformes,,Gasteroclupea,,,,,-65.449997,-17.855556,Pajcha Pata,,Pajchapata,BO,Cochabamba,,based on nearby landmark,seconds,outcrop,"About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road",gp_mid,-46.94,-18.88,201,BO,,El Molino,,,member,,,,,,,,"The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.",sandstone,"fine,medium,red,yellow",,,Y,,,,,,estuary/bay,,The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,"Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.",,,actively mobile,nektonic,,carnivore,,,hydroxyapatite,,,,vertebrate,"M. Gayet, L. G. Marshall, and T. Sempere. 1991. The Mesozoic and Paleocene vertebrates of Bolivia and their stratigraphic context: a review. In R. Suarez-Soruco (ed.), Fosiles y Facies de Bolivia. Volumen 1‰ÛÓVertebrados. Revista TÌ©cnica de YPFB 12(3-4):393-433"
146074,occ,,,12855,Rhineastes sp.,genus,105816,,Rhineastes,,genus,105816,Maastrichtian,,72.1,66,Gayet et al.,1991,19317,Chordata,Actinopteri,Siluriformes,Siluridae,Rhineastes,,,,,-65.449997,-17.855556,Pajcha Pata,,Pajchapata,BO,Cochabamba,,based on nearby landmark,seconds,outcrop,"About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road",gp_mid,-46.94,-18.88,201,BO,,El Molino,,,member,,,,,,,,"The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.",sandstone,"fine,medium,red,yellow",,,Y,,,,,,estuary/bay,,The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,"Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.",freshwater,,actively mobile,nektobenthic,,carnivore,,,hydroxyapatite,,,,vertebrate,"M. Gayet, L. G. Marshall, and T. Sempere. 1991. The Mesozoic and Paleocene vertebrates of Bolivia and their stratigraphic context: a review. In R. Suarez-Soruco (ed.), Fosiles y Facies de Bolivia. Volumen 1‰ÛÓVertebrados. Revista TÌ©cnica de YPFB 12(3-4):393-433"
146076,occ,,,12855,cf. Cyprinodontiformes indet.,order,83737,,Cyprinodontiformes,,order,83737,Maastrichtian,,72.1,66,Gayet et al.,1991,19317,Chordata,Actinopteri,Cyprinodontiformes,,,,,,,-65.449997,-17.855556,Pajcha Pata,,Pajchapata,BO,Cochabamba,,based on nearby landmark,seconds,outcrop,"About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road",gp_mid,-46.94,-18.88,201,BO,,El Molino,,,member,,,,,,,,"The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.",sandstone,"fine,medium,red,yellow",,,Y,,,,,,estuary/bay,,The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,taxonomic,"bulk,surface (float),sieve,field collection",,some macrofossils,,,"Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.",,,actively mobile,nektonic,,omnivore,,,hydroxyapatite,,,,vertebrate,"M. Gayet, L. G. Marshall, and T. Sempere. 1991. The Mesozoic and Paleocene vertebrates of Bolivia and their stratigraphic context: a review. In R. Suarez-Soruco (ed.), Fosiles y Facies de Bolivia. Volumen 1‰ÛÓVertebrados. Revista TÌ©cnica de YPFB 12(3-4):393-433"
148507,occ,,,13106,Teleostei indet.,infraclass,63035,,Teleostei,,infraclass,63035,Late Maastrichtian,,70.6,66,Chatterjee and Small,1989,4371,Chordata,Actinopteri,,,,,,,,-56.75,-64.283333,Lopez de Bertodano plesiosaurs,,,AA,,,based on nearby landmark,minutes,local area,southern two thirds of Seymour Island.,gp_mid,-70.67,-59.34,803,AA,,Lopez de Bertodano,,,member,'molluscan units',,,,,,,formation divided into 10 informal units; bottom six are <i>Rotularia</i> units lacking macrofossils; top four are molluscan units with macrofossils including vertebrates\r\nLopez de Bertodano Formation is approximately Late Maastrichtian according to Crame et al. (2004).,loosely consolidated sandy siltstones intercalated with calcareous concretions and that is all it says,siltstone,concretionary,poorly lithified,sandy,Y,"""carbonate""",,lithified,,Y,marine indet.,,part of nearshore marine and coastal-deltaic series within transgressive-regressive cycle,"macrofossils,mesofossils,microfossils",,,,,,,,"body,concretion",,parautochthonous,,,dispersed,,,,,,,not much,taxonomic,"selective quarrying,chemical,mechanical,field collection",,"all microfossils,some macrofossils,difficult macrofossils",8 specimens,,,,,,,,actively mobile,,,,,,hydroxyapatite,,,,vertebrate,"S. Chatterjee and B. J. Small. 1989. New plesiosaurs from the Upper Cretaceous of Antarctica. Origin and Evolution of the Antarctic Biota, Geological Society Special Publication  47:197-215"
806541,occ,,,88070,Palaeobalistum n. sp. dossantosi,species,144460,,Palaeobalistum dossantosi,,species,144460,Maastrichtian,,72.1,66,Maury,1930,29591,Chordata,Actinopteri,Pycnodontiformes,Nursallidae,Palaeobalistum,,,,,-34.799999,-7.25,Right bank of Rio Gramame (Sphenodiscus zone),,,BR,ParaÌ_ba,,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: Rio Gramame, Fazenda do Congo, 3-4 mi. S of Parahyba, Parahyba do Norte, Brazil. LAT/LONG: estimated based on Rio Gramame, Brazil.",gp_mid,-14.36,-13.62,201,BR,,,,,bed,,,,,,,,"STRATIGRAPHIC RELATIONS: From unknown lithostratigraphic unit. AGE: Maastrichtian, on the basis of ammonite biostratigraphy. STRATIGRAPHIC POSITION: From unknown position within local stratigraphic section.","SPECIFIC LITHOLOGY: Gray limestone. LITHIFICATION: Lithified, on the basis of figured specimens and facies description.","""limestone""",gray,lithified,,,,,,,,carbonate indet.,,"ENVIRONMENT: Not stated in text, but apparently shallow marine carbonate.",macrofossils,,,,,,,,"body,mold/impression",,,,,,,,,,,,"TAPHONOMY: Not stated in text, but apparently preserved as molds on the basis of figured specimens.",taxonomic,"surface (in situ),survey of museum collection",,,,,,,COLLECTOR: Unknown. REPOSITORY: Geological Survey of Brazil.,"COVERAGE: Exhaustive for ammonoids, with other taxa also listed. NOMENCLATURE: Authoritative publication, with antiquated nomenclature, but with species-resolution identifications.",,,actively mobile,nektonic,,"durophage, carnivore",,,hydroxyapatite,,,,marine invertebrate,C. J. Maury. 1930. O Cretaceo da Parahyba do Norte. ServiÌ_o Geologico E Mineralogico do Brasil Monographia 8:1-305
806542,occ,,,88070,Enchodus n. sp. oliveirai,species,144461,,Enchodus oliveirai,,species,144461,Maastrichtian,,72.1,66,Maury,1930,29591,Chordata,Actinopteri,Salmoniformes,Enchodontidae,Enchodus,,,,,-34.799999,-7.25,Right bank of Rio Gramame (Sphenodiscus zone),,,BR,ParaÌ_ba,,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: Rio Gramame, Fazenda do Congo, 3-4 mi. S of Parahyba, Parahyba do Norte, Brazil. LAT/LONG: estimated based on Rio Gramame, Brazil.",gp_mid,-14.36,-13.62,201,BR,,,,,bed,,,,,,,,"STRATIGRAPHIC RELATIONS: From unknown lithostratigraphic unit. AGE: Maastrichtian, on the basis of ammonite biostratigraphy. STRATIGRAPHIC POSITION: From unknown position within local stratigraphic section.","SPECIFIC LITHOLOGY: Gray limestone. LITHIFICATION: Lithified, on the basis of figured specimens and facies description.","""limestone""",gray,lithified,,,,,,,,carbonate indet.,,"ENVIRONMENT: Not stated in text, but apparently shallow marine carbonate.",macrofossils,,,,,,,,"body,mold/impression",,,,,,,,,,,,"TAPHONOMY: Not stated in text, but apparently preserved as molds on the basis of figured specimens.",taxonomic,"surface (in situ),survey of museum collection",,,,,,,COLLECTOR: Unknown. REPOSITORY: Geological Survey of Brazil.,"COVERAGE: Exhaustive for ammonoids, with other taxa also listed. NOMENCLATURE: Authoritative publication, with antiquated nomenclature, but with species-resolution identifications.",,,actively mobile,nektonic,,carnivore,,,hydroxyapatite,,,,marine invertebrate,C. J. Maury. 1930. O Cretaceo da Parahyba do Norte. ServiÌ_o Geologico E Mineralogico do Brasil Monographia 8:1-305
968922,occ,,,114766,Coelodus toncoensis,species,35173,species not entered,Coelodus,,genus,35173,Maastrichtian,,72.1,66,Gasparini and Buffetaut,1980,37194,Chordata,Actinopteri,Pycnodontiformes,Pycnodontidae,Coelodus,,,,,-65.949997,-25.383333,"Quebrada La Escalera, Rio Tonco",,Dolichochampsa minima type locality,AR,Salta,San Carlos,stated in text,minutes,outcrop,"Region of the Quebrada La Escalera, N part of the valley of the Rio Tonco",gp_mid,-49.04,-26.17,201,AR,,Yacoraite,Salta,,member,,,,,,,,"Upper part of formation, Balbuena Subgroup; lower part of the Los Berthos Complex",Muddy sandstones of reddish colour,sandstone,red,,muddy,Y,,,,,,marine indet.,,,macrofossils,,some,,,,,,body,medium,,,,,,,,occasional,,,,taxonomic,field collection,MLP,,,,,,,,,,actively mobile,nektonic,,"durophage, carnivore",,,hydroxyapatite,,,,,"Z. B. d. Gasparini and E. Buffetaut. 1980. Dolichochampsa minima, n. g. n. sp., a representative of a new family of eusuchian crocodiles from the Late Cretaceous of northern Argentina. Neues Jahrbuch fÌ_r Geologie und PalÌ_ontologie Monatshefte 1980(5):257-271"
968923,occ,,,114766,Gasteroclupea branisai,species,35450,species not entered,Gasteroclupea,,genus,35450,Maastrichtian,,72.1,66,Gasparini and Buffetaut,1980,37194,Chordata,Actinopteri,Clupeiformes,,Gasteroclupea,,,,,-65.949997,-25.383333,"Quebrada La Escalera, Rio Tonco",,Dolichochampsa minima type locality,AR,Salta,San Carlos,stated in text,minutes,outcrop,"Region of the Quebrada La Escalera, N part of the valley of the Rio Tonco",gp_mid,-49.04,-26.17,201,AR,,Yacoraite,Salta,,member,,,,,,,,"Upper part of formation, Balbuena Subgroup; lower part of the Los Berthos Complex",Muddy sandstones of reddish colour,sandstone,red,,muddy,Y,,,,,,marine indet.,,,macrofossils,,some,,,,,,body,medium,,,,,,,,occasional,,,,taxonomic,field collection,MLP,,,,,,,,,,actively mobile,nektonic,,carnivore,,,hydroxyapatite,,,,,"Z. B. d. Gasparini and E. Buffetaut. 1980. Dolichochampsa minima, n. g. n. sp., a representative of a new family of eusuchian crocodiles from the Late Cretaceous of northern Argentina. Neues Jahrbuch fÌ_r Geologie und PalÌ_ontologie Monatshefte 1980(5):257-271"
968925,occ,,,114767,Coelodus toncoensis,species,35173,species not entered,Coelodus,,genus,35173,Maastrichtian,,72.1,66,Gasparini and Buffetaut,1980,37194,Chordata,Actinopteri,Pycnodontiformes,Pycnodontidae,Coelodus,,,,,-66.25,-24.35,Corral Negro,,Acay Oeste,AR,Salta,Los Andes,stated in text,minutes,small collection,"Region of Corral Negro (Acay Oeste), on the Ruta Nacional N51, in the Departamento de Los Andes",gp_mid,-49.11,-25.1,201,AR,,Yacoraite,Salta,,bed,,,,,,,,"Situated a few metres below the contact with the Mealla Formation, Santa Barbara Subgroup",Oolitic limestone,"""limestone""",ooidal,,,Y,,,,,,marine indet.,,,macrofossils,,some,,,,,,body,,,,,,,,,occasional,,,,taxonomic,field collection,MLP,,,,,,,,,,actively mobile,nektonic,,"durophage, carnivore",,,hydroxyapatite,,,,vertebrate,"Z. B. d. Gasparini and E. Buffetaut. 1980. Dolichochampsa minima, n. g. n. sp., a representative of a new family of eusuchian crocodiles from the Late Cretaceous of northern Argentina. Neues Jahrbuch fÌ_r Geologie und PalÌ_ontologie Monatshefte 1980(5):257-271"
